arm,model_tag,level,n,directed_f1,truth_in_hypotheses
probe_repair_only,gpt-4o-mini-2024-07-18,2,10,0.932 ±0.065,0.500 ±0.327
probe_repair_only,gpt-4o-mini-2024-07-18,3,10,0.941 ±0.033,0.300 ±0.299
probe_repair_only,qwen3-coder-30b-a3b-instruct,0,10,0.889 ±0.089,0.500 ±0.327
probe_repair_only,qwen3-coder-30b-a3b-instruct,1,10,0.923 ±0.096,0.600 ±0.320
probe_repair_only,qwen3-coder-30b-a3b-instruct,2,10,0.922 ±0.073,0.500 ±0.327
probe_repair_only,qwen3-coder-30b-a3b-instruct,3,10,0.931 ±0.054,0.400 ±0.320
probe_skel_only,none,0,10,0.786 ±0.146,0.300 ±0.299
probe_skel_only,none,1,10,0.920 ±0.072,0.600 ±0.320
probe_skel_only,none,2,10,0.932 ±0.065,0.500 ±0.327
probe_skel_only,none,3,10,0.920 ±0.052,0.300 ±0.299
