graph,condition,run_id,timestamp_utc,study,arm,model,model_tag,level,seed,runtime_seed,d,k,n_obs,n_int,budget,opt_set_size,true_edges,cpdag_undirected,status,error,wall_sec,skeleton_precision,skeleton_recall,skeleton_f1,compelled_f1,directed_precision,directed_recall,directed_f1,dag_shd,efficiency,interventions_used,optimal_interventions,submit_directed,submit_undirected,steps_taken,n_hypotheses,n_hypotheses_from_llm,truth_in_hypotheses,best_f1_in_hypotheses,truth_rank_initial,truth_rank_final,entropy_initial_nats,entropy_final_nats,map_weight_final,proposed_raw,proposed_valid_unique,propose_repairs,propose_rounds,repair_remove,repair_add,propose_cached,pc_skeleton_f1_ceiling,pc_undirected_edges,pc_directed_edges,reserve_frac,edits_correct_remove,edits_correct_add,llm_calls,llm_failed_calls,llm_repair_calls,prompt_tokens,completion_tokens,cached_tokens,total_tokens,cost_usd,llm_latency_sec
cancer,named,20260820T064424Z,2026-08-20T06:44:24.314089+00:00,study2_semantic,probe,anthropic/claude-haiku-4.5,claude-haiku-4.5,-1,20260820,2654167437,5,4,300,150,1,0,4,0,success,,2.066,1.0,0.75,0.8571428571428571,0.8571428571428571,1.0,0.75,0.8571428571428571,1,0.0,1,0,3,0,1,48,48,0,0.857143,-1,-1,1.09861,0.71178,0.82183,,,0,,1,2,1,0.857143,3,0,0.5,0,0,0,0,0,0,0,0,0,0.0,0.0
cancer,shared,20260820T064424Z,2026-08-20T06:44:26.395677+00:00,study2_semantic,oracle,,none,-1,20260821,2654167568,5,4,300,150,1,0,4,0,success,,0.001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,0,0,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cancer,shared,20260820T064424Z,2026-08-20T06:44:26.398740+00:00,study2_semantic,pc_greedy_meek,,none,-1,20260821,2654167568,5,4,300,150,1,0,4,0,success,,0.019,0.8,1.0,0.888888888888889,1.0,1.0,1.0,1.0,1,0.0,1,0,4,1,1,,,,,,,,,,,,,,,,,0.888889,,,,,,,,,,,,,,
cancer,shared,20260820T064424Z,2026-08-20T06:44:25.941326+00:00,study2_semantic,probe_random_edits,,none,-1,20260820,2654167437,5,4,300,150,1,0,4,0,success,,0.681,1.0,0.75,0.8571428571428571,0.8571428571428571,1.0,0.75,0.8571428571428571,1,0.0,1,0,3,0,1,48,0,0,0.857143,-1,-1,1.09912,1.2581,0.62351,,,,,3,4,,0.857143,3,0,0.5,0,0,,,,,,,,,
cancer,named,20260820T064424Z,2026-08-20T06:44:25.926553+00:00,study2_semantic,probe,google/gemini-3-flash-preview,gemini-3-flash-preview,-1,20260820,2654167437,5,4,300,150,1,0,4,0,success,,0.703,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.0,1,0,4,0,1,48,48,1,1.0,1,1,1.70403,0.33177,0.92078,,,0,,0,2,1,0.857143,3,0,0.5,0,1,0,0,0,0,0,0,0,0.0,0.0
cancer,anon,20260820T064424Z,2026-08-20T06:44:25.970368+00:00,study2_semantic,probe,qwen/qwen3-coder-30b-a3b-instruct,qwen3-coder-30b-a3b-instruct,-1,20260820,2654167437,5,4,300,150,1,0,4,0,success,,0.691,1.0,0.75,0.8571428571428571,0.8571428571428571,1.0,0.75,0.8571428571428571,1,0.0,1,0,3,0,1,48,48,0,0.857143,-1,-1,1.09912,0.74248,0.76554,,,0,,2,3,1,0.857143,3,0,0.5,0,0,0,0,0,0,0,0,0,0.0,0.0
cancer,anon,20260820T064424Z,2026-08-20T06:44:26.380620+00:00,study2_semantic,probe,google/gemini-3-flash-preview,gemini-3-flash-preview,-1,20260820,2654167437,5,4,300,150,1,0,4,0,success,,0.602,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.0,1,0,4,0,1,48,48,1,1.0,1,1,1.70403,0.33177,0.92078,,,0,,0,2,1,0.857143,3,0,0.5,0,1,0,0,0,0,0,0,0,0.0,0.0
cancer,named,20260820T064424Z,2026-08-20T06:44:26.420275+00:00,study2_semantic,probe,qwen/qwen3-coder-30b-a3b-instruct,qwen3-coder-30b-a3b-instruct,-1,20260821,2654167568,5,4,300,150,1,0,4,0,success,,0.622,0.8,1.0,0.888888888888889,1.0,0.8,1.0,0.888888888888889,1,0.0,1,0,5,0,1,48,48,0,0.888889,-1,-1,2.67339,1.03049,0.44717,,,0,,0,1,1,0.888889,5,0,0.5,0,0,0,0,0,0,0,0,0,0.0,0.0
cancer,named,20260820T064424Z,2026-08-20T06:44:26.625405+00:00,study2_semantic,probe,openai/gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,-1,20260821,2654167568,5,4,300,150,1,0,4,0,success,,0.589,0.8,1.0,0.888888888888889,1.0,0.8,1.0,0.888888888888889,1,0.0,1,0,5,0,1,48,48,0,0.888889,-1,-1,2.80777,1.09459,0.44146,,,0,,2,2,1,0.888889,5,0,0.5,0,0,0,0,0,0,0,0,0,0.0,0.0
cancer,named,20260820T064424Z,2026-08-20T06:44:26.663629+00:00,study2_semantic,probe,anthropic/claude-haiku-4.5,claude-haiku-4.5,-1,20260821,2654167568,5,4,300,150,1,0,4,0,success,,0.557,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.0,1,0,4,0,1,48,48,1,1.0,1,1,2.84281,0.54507,0.86449,,,0,,1,2,1,0.888889,5,0,0.5,1,0,0,0,0,0,0,0,0,0.0,0.0
cancer,named,20260820T064424Z,2026-08-20T06:44:26.643842+00:00,study2_semantic,probe,openai/gpt-5.4-mini,gpt-5.4-mini,-1,20260821,2654167568,5,4,300,150,1,0,4,0,success,,0.578,0.8,1.0,0.888888888888889,1.0,0.8,1.0,0.888888888888889,1,0.0,1,0,5,0,1,48,48,0,0.888889,-1,-1,2.66523,0.76794,0.49287,,,0,,2,1,1,0.888889,5,0,0.5,0,0,0,0,0,0,0,0,0,0.0,0.0
cancer,named,20260820T064424Z,2026-08-20T06:44:26.985444+00:00,study2_semantic,probe,google/gemini-3-flash-preview,gemini-3-flash-preview,-1,20260821,2654167568,5,4,300,150,1,0,4,0,success,,0.338,0.8,1.0,0.888888888888889,1.0,0.8,1.0,0.888888888888889,1,0.0,1,0,5,0,1,24,24,0,0.888889,-1,-1,2.30259,0.69315,0.5,,,0,,0,0,1,0.888889,5,0,0.5,0,0,0,0,0,0,0,0,0,0.0,0.0
cancer,shared,20260820T064424Z,2026-08-20T06:44:27.044391+00:00,study2_semantic,probe_skel_only,,none,-1,20260821,2654167568,5,4,300,150,1,0,4,0,success,,0.368,0.8,1.0,0.888888888888889,1.0,0.8,1.0,0.888888888888889,1,0.0,1,0,5,0,1,24,0,0,0.888889,-1,-1,2.30259,0.69315,0.5,,,,,,,,0.888889,5,0,0.5,0,0,,,,,,,,,
cancer,shared,20260820T064424Z,2026-08-20T06:44:27.226278+00:00,study2_semantic,probe_oracle_edits,,none,-1,20260821,2654167568,5,4,300,150,1,0,4,0,success,,0.513,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.0,1,0,4,0,1,40,0,1,1.0,1,1,2.3977,0.45432,0.87842,,,,,1,0,,0.888889,5,0,0.5,1,0,,,,,,,,,
cancer,shared,20260820T064424Z,2026-08-20T06:44:27.218765+00:00,study2_semantic,probe_random_edits,,none,-1,20260821,2654167568,5,4,300,150,1,0,4,0,success,,0.635,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.0,1,0,4,0,1,48,0,1,1.0,1,1,3.00015,0.53342,0.86587,,,,,4,4,,0.888889,5,0,0.5,1,0,,,,,,,,,
cancer,anon,20260820T064424Z,2026-08-20T06:44:27.249847+00:00,study2_semantic,probe,qwen/qwen3-coder-30b-a3b-instruct,qwen3-coder-30b-a3b-instruct,-1,20260821,2654167568,5,4,300,150,1,0,4,0,success,,0.608,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.0,1,0,4,0,1,48,48,1,1.0,1,1,3.00015,0.53342,0.86587,,,0,,1,4,1,0.888889,5,0,0.5,1,0,0,0,0,0,0,0,0,0.0,0.0
cancer,shared,20260820T064424Z,2026-08-20T06:44:27.862093+00:00,study2_semantic,oracle,,none,-1,20260822,2654167699,5,4,300,150,1,0,4,0,success,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,0,0,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cancer,shared,20260820T064424Z,2026-08-20T06:44:27.868265+00:00,study2_semantic,pc_greedy_meek,,none,-1,20260822,2654167699,5,4,300,150,1,0,4,0,success,,0.011,1.0,0.75,0.8571428571428571,0.8571428571428571,1.0,0.75,0.8571428571428571,1,0.0,1,0,3,0,1,,,,,,,,,,,,,,,,,0.857143,,,,,,,,,,,,,,
cancer,anon,20260820T064424Z,2026-08-20T06:44:27.325619+00:00,study2_semantic,probe,openai/gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,-1,20260821,2654167568,5,4,300,150,1,0,4,0,success,,0.612,0.8,1.0,0.888888888888889,1.0,0.8,1.0,0.888888888888889,1,0.0,1,0,5,0,1,48,48,0,0.888889,-1,-1,2.79874,0.99489,0.46247,,,0,,2,2,1,0.888889,5,0,0.5,0,0,0,0,0,0,0,0,0,0.0,0.0
cancer,anon,20260820T064424Z,2026-08-20T06:44:27.414123+00:00,study2_semantic,probe,openai/gpt-5.4-mini,gpt-5.4-mini,-1,20260821,2654167568,5,4,300,150,1,0,4,0,success,,0.616,0.8,1.0,0.888888888888889,1.0,0.8,1.0,0.888888888888889,1,0.0,1,0,5,0,1,48,48,0,0.888889,-1,-1,2.66692,0.76794,0.49287,,,0,,1,1,1,0.888889,5,0,0.5,0,0,0,0,0,0,0,0,0,0.0,0.0
cancer,named,20260820T064424Z,2026-08-20T06:44:28.033974+00:00,study2_semantic,probe,openai/gpt-5.4-mini,gpt-5.4-mini,-1,20260822,2654167699,5,4,300,150,1,0,4,0,success,,0.012,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,0,0,4,0,0,48,48,1,1.0,1,1,0.0,0.0,1.0,,,0,,2,3,1,0.857143,3,0,0.5,0,1,0,0,0,0,0,0,0,0.0,0.0
cancer,anon,20260820T064424Z,2026-08-20T06:44:27.855720+00:00,study2_semantic,probe,google/gemini-3-flash-preview,gemini-3-flash-preview,-1,20260821,2654167568,5,4,300,150,1,0,4,0,success,,0.348,0.8,1.0,0.888888888888889,1.0,0.8,1.0,0.888888888888889,1,0.0,1,0,5,0,1,24,24,0,0.888889,-1,-1,2.30259,0.69315,0.5,,,0,,0,0,1,0.888889,5,0,0.5,0,0,0,0,0,0,0,0,0,0.0,0.0
cancer,named,20260820T064424Z,2026-08-20T06:44:28.206397+00:00,study2_semantic,probe,google/gemini-3-flash-preview,gemini-3-flash-preview,-1,20260822,2654167699,5,4,300,150,1,0,4,0,success,,0.172,1.0,0.75,0.8571428571428571,0.8571428571428571,1.0,0.75,0.8571428571428571,1,0.0,1,0,3,0,1,24,24,0,0.857143,-1,-1,1.09861,0.43319,0.88623,,,0,,0,1,1,0.857143,3,0,0.5,0,0,0,0,0,0,0,0,0,0.0,0.0
cancer,named,20260820T064424Z,2026-08-20T06:44:27.881616+00:00,study2_semantic,probe,qwen/qwen3-coder-30b-a3b-instruct,qwen3-coder-30b-a3b-instruct,-1,20260822,2654167699,5,4,300,150,1,0,4,0,success,,0.511,1.0,0.75,0.8571428571428571,0.8571428571428571,1.0,0.75,0.8571428571428571,1,0.0,1,0,3,0,1,48,48,0,0.857143,-1,-1,1.38629,0.94953,0.69852,,,0,,0,2,1,0.857143,3,0,0.5,0,0,0,0,0,0,0,0,0,0.0,0.0
cancer,shared,20260820T064424Z,2026-08-20T06:44:28.395411+00:00,study2_semantic,probe_random_edits,,none,-1,20260822,2654167699,5,4,300,150,1,0,4,0,success,,0.012,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,0,0,4,0,0,48,0,1,1.0,1,1,0.0,0.0,1.0,,,,,3,4,,0.857143,3,0,0.5,0,1,,,,,,,,,
cancer,anon,20260820T064424Z,2026-08-20T06:44:27.741308+00:00,study2_semantic,probe,anthropic/claude-haiku-4.5,claude-haiku-4.5,-1,20260821,2654167568,5,4,300,150,1,0,4,0,success,,0.667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.0,1,0,4,0,1,48,48,1,1.0,1,1,2.84281,0.54507,0.86449,,,0,,1,2,1,0.888889,5,0,0.5,1,0,0,0,0,0,0,0,0,0.0,0.0
cancer,shared,20260820T064424Z,2026-08-20T06:44:28.409546+00:00,study2_semantic,probe_oracle_edits,,none,-1,20260822,2654167699,5,4,300,150,1,0,4,0,success,,0.008,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,0,0,4,0,0,24,0,1,1.0,1,1,0.0,0.0,1.0,,,,,0,1,,0.857143,3,0,0.5,0,1,,,,,,,,,
cancer,anon,20260820T064424Z,2026-08-20T06:44:28.417558+00:00,study2_semantic,probe,qwen/qwen3-coder-30b-a3b-instruct,qwen3-coder-30b-a3b-instruct,-1,20260822,2654167699,5,4,300,150,1,0,4,0,success,,0.014,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,0,0,4,0,0,48,48,1,1.0,1,1,0.0,0.0,1.0,,,0,,2,3,1,0.857143,3,0,0.5,0,1,0,0,0,0,0,0,0,0.0,0.0
cancer,anon,20260820T064424Z,2026-08-20T06:44:28.420615+00:00,study2_semantic,probe,openai/gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,-1,20260822,2654167699,5,4,300,150,1,0,4,0,success,,0.02,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,0,0,4,0,0,48,48,1,1.0,1,1,0.0,0.0,1.0,,,0,,3,4,1,0.857143,3,0,0.5,0,1,0,0,0,0,0,0,0,0.0,0.0
cancer,named,20260820T064424Z,2026-08-20T06:44:28.048498+00:00,study2_semantic,probe,anthropic/claude-haiku-4.5,claude-haiku-4.5,-1,20260822,2654167699,5,4,300,150,1,0,4,0,success,,0.423,1.0,0.75,0.8571428571428571,0.8571428571428571,1.0,0.75,0.8571428571428571,1,0.0,1,0,3,0,1,48,48,0,0.857143,-1,-1,1.09861,0.47936,0.87852,,,0,,1,2,1,0.857143,3,0,0.5,0,0,0,0,0,0,0,0,0,0.0,0.0
cancer,shared,20260820T064424Z,2026-08-20T06:44:28.380793+00:00,study2_semantic,probe_skel_only,,none,-1,20260822,2654167699,5,4,300,150,1,0,4,0,success,,0.168,1.0,0.75,0.8571428571428571,0.8571428571428571,1.0,0.75,0.8571428571428571,1,0.0,1,0,3,0,1,8,0,0,0.857143,-1,-1,1.38629,-0.0,1.0,,,,,,,,0.857143,3,0,0.5,0,0,,,,,,,,,
cancer,shared,20260820T064424Z,2026-08-20T06:44:28.552733+00:00,study2_semantic,oracle,,none,-1,20260823,2654167830,5,4,300,150,1,0,4,0,success,,0.001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,0,0,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cancer,shared,20260820T064424Z,2026-08-20T06:44:28.556569+00:00,study2_semantic,pc_greedy_meek,,none,-1,20260823,2654167830,5,4,300,150,1,0,4,0,success,,0.013,1.0,0.75,0.8571428571428571,0.8571428571428571,1.0,0.75,0.8571428571428571,1,0.0,1,0,3,0,1,,,,,,,,,,,,,,,,,0.857143,,,,,,,,,,,,,,
cancer,named,20260820T064424Z,2026-08-20T06:44:28.571792+00:00,study2_semantic,probe,qwen/qwen3-coder-30b-a3b-instruct,qwen3-coder-30b-a3b-instruct,-1,20260823,2654167830,5,4,300,150,1,0,4,0,success,,0.012,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,0,0,4,0,0,48,48,1,1.0,1,1,4e-05,4e-05,1.0,,,0,,2,2,1,0.857143,3,0,0.5,0,1,0,0,0,0,0,0,0,0.0,0.0
cancer,named,20260820T064424Z,2026-08-20T06:44:28.586159+00:00,study2_semantic,probe,openai/gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,-1,20260823,2654167830,5,4,300,150,1,0,4,0,success,,0.012,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,0,0,4,0,0,48,48,1,1.0,1,1,4e-05,4e-05,1.0,,,0,,3,4,1,0.857143,3,0,0.5,0,1,0,0,0,0,0,0,0,0.0,0.0
cancer,named,20260820T064424Z,2026-08-20T06:44:27.940890+00:00,study2_semantic,probe,openai/gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,-1,20260822,2654167699,5,4,300,150,1,0,4,0,success,,0.716,1.0,0.75,0.8571428571428571,0.8571428571428571,1.0,0.75,0.8571428571428571,1,0.0,1,0,3,0,1,48,48,0,0.857143,-1,-1,1.60944,0.55771,0.78209,,,0,,3,2,1,0.857143,3,0,0.5,0,0,0,0,0,0,0,0,0,0.0,0.0
cancer,named,20260820T064424Z,2026-08-20T06:44:28.659099+00:00,study2_semantic,probe,anthropic/claude-haiku-4.5,claude-haiku-4.5,-1,20260823,2654167830,5,4,300,150,1,0,4,0,success,,0.008,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,0,0,4,0,0,36,36,1,1.0,1,1,0.0,0.0,1.0,,,0,,1,1,1,0.857143,3,0,0.5,0,1,0,0,0,0,0,0,0,0.0,0.0
cancer,anon,20260820T064424Z,2026-08-20T06:44:28.474236+00:00,study2_semantic,probe,google/gemini-3-flash-preview,gemini-3-flash-preview,-1,20260822,2654167699,5,4,300,150,1,0,4,0,success,,0.241,1.0,0.75,0.8571428571428571,0.8571428571428571,1.0,0.75,0.8571428571428571,1,0.0,1,0,3,0,1,24,24,0,0.857143,-1,-1,1.09861,0.43319,0.88623,,,0,,0,1,1,0.857143,3,0,0.5,0,0,0,0,0,0,0,0,0,0.0,0.0
cancer,anon,20260820T064424Z,2026-08-20T06:44:28.441389+00:00,study2_semantic,probe,openai/gpt-5.4-mini,gpt-5.4-mini,-1,20260822,2654167699,5,4,300,150,1,0,4,0,success,,0.372,1.0,0.75,0.8571428571428571,0.8571428571428571,1.0,0.75,0.8571428571428571,1,0.0,1,0,3,0,1,36,36,0,0.857143,-1,-1,1.09861,0.43319,0.88623,,,0,,2,1,1,0.857143,3,0,0.5,0,0,0,0,0,0,0,0,0,0.0,0.0
cancer,named,20260820T064424Z,2026-08-20T06:44:28.600682+00:00,study2_semantic,probe,openai/gpt-5.4-mini,gpt-5.4-mini,-1,20260823,2654167830,5,4,300,150,1,0,4,0,success,,0.228,1.0,0.75,0.8571428571428571,0.8571428571428571,1.0,0.75,0.8571428571428571,1,0.0,1,0,3,0,1,24,24,0,0.857143,-1,-1,1.09861,0.44477,0.88198,,,0,,0,1,1,0.857143,3,0,0.5,0,0,0,0,0,0,0,0,0,0.0,0.0
cancer,shared,20260820T064424Z,2026-08-20T06:44:28.817803+00:00,study2_semantic,probe_random_edits,,none,-1,20260823,2654167830,5,4,300,150,1,0,4,0,success,,0.011,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,0,0,4,0,0,48,0,1,1.0,1,1,0.0,0.0,1.0,,,,,3,4,,0.857143,3,0,0.5,0,1,,,,,,,,,
cancer,shared,20260820T064424Z,2026-08-20T06:44:28.831293+00:00,study2_semantic,probe_oracle_edits,,none,-1,20260823,2654167830,5,4,300,150,1,0,4,0,success,,0.007,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,0,0,4,0,0,24,0,1,1.0,1,1,0.0,0.0,1.0,,,,,0,1,,0.857143,3,0,0.5,0,1,,,,,,,,,
cancer,anon,20260820T064424Z,2026-08-20T06:44:28.838764+00:00,study2_semantic,probe,qwen/qwen3-coder-30b-a3b-instruct,qwen3-coder-30b-a3b-instruct,-1,20260823,2654167830,5,4,300,150,1,0,4,0,success,,0.011,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,0,0,4,0,0,48,48,1,1.0,1,1,4e-05,4e-05,1.0,,,0,,2,2,1,0.857143,3,0,0.5,0,1,0,0,0,0,0,0,0,0.0,0.0
cancer,anon,20260820T064424Z,2026-08-20T06:44:28.850120+00:00,study2_semantic,probe,openai/gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,-1,20260823,2654167830,5,4,300,150,1,0,4,0,success,,0.012,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,0,0,4,0,0,48,48,1,1.0,1,1,4e-05,4e-05,1.0,,,0,,3,4,1,0.857143,3,0,0.5,0,1,0,0,0,0,0,0,0,0.0,0.0
cancer,shared,20260820T064424Z,2026-08-20T06:44:28.717505+00:00,study2_semantic,probe_skel_only,,none,-1,20260823,2654167830,5,4,300,150,1,0,4,0,success,,0.157,1.0,0.75,0.8571428571428571,0.8571428571428571,1.0,0.75,0.8571428571428571,1,0.0,1,0,3,0,1,8,0,0,0.857143,-1,-1,1.38629,0.0,1.0,,,,,,,,0.857143,3,0,0.5,0,0,,,,,,,,,
cancer,anon,20260820T064424Z,2026-08-20T06:44:28.451197+00:00,study2_semantic,probe,anthropic/claude-haiku-4.5,claude-haiku-4.5,-1,20260822,2654167699,5,4,300,150,1,0,4,0,success,,0.476,1.0,0.75,0.8571428571428571,0.8571428571428571,1.0,0.75,0.8571428571428571,1,0.0,1,0,3,0,1,48,48,0,0.857143,-1,-1,1.09861,0.6841,0.83058,,,0,,1,2,1,0.857143,3,0,0.5,0,0,0,0,0,0,0,0,0,0.0,0.0
cancer,shared,20260820T064424Z,2026-08-20T06:44:28.929669+00:00,study2_semantic,oracle,,none,-1,20260824,2654167961,5,4,300,150,1,0,4,0,success,,0.001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,0,0,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cancer,shared,20260820T064424Z,2026-08-20T06:44:28.931777+00:00,study2_semantic,pc_greedy_meek,,none,-1,20260824,2654167961,5,4,300,150,1,0,4,0,success,,0.012,1.0,0.75,0.8571428571428571,0.8571428571428571,1.0,0.75,0.8571428571428571,1,0.0,1,0,3,0,1,,,,,,,,,,,,,,,,,0.857143,,,,,,,,,,,,,,
cancer,anon,20260820T064424Z,2026-08-20T06:44:28.862298+00:00,study2_semantic,probe,openai/gpt-5.4-mini,gpt-5.4-mini,-1,20260823,2654167830,5,4,300,150,1,0,4,0,success,,0.199,1.0,0.75,0.8571428571428571,0.8571428571428571,1.0,0.75,0.8571428571428571,1,0.0,1,0,3,0,1,24,24,0,0.857143,-1,-1,1.09861,0.44477,0.88198,,,0,,0,1,1,0.857143,3,0,0.5,0,0,0,0,0,0,0,0,0,0.0,0.0
