arm,model_tag,level,n,directed_f1,truth_in_hypotheses
probe_noreserve,qwen3-coder-30b-a3b-instruct,3,20,0.893 ±0.036,0.050 ±0.098
probe_oracle_edits,none,0,20,0.994 ±0.011,1.000 ±0.000
probe_oracle_edits,none,1,20,1.000 ±0.000,1.000 ±0.000
probe_oracle_edits,none,2,20,1.000 ±0.000,1.000 ±0.000
probe_oracle_edits,none,3,20,0.990 ±0.020,0.950 ±0.098
probe_oracle_edits_noreserve,none,0,20,0.994 ±0.011,1.000 ±0.000
probe_oracle_edits_noreserve,none,1,20,1.000 ±0.000,1.000 ±0.000
probe_oracle_edits_noreserve,none,2,20,1.000 ±0.000,1.000 ±0.000
probe_oracle_edits_noreserve,none,3,20,0.990 ±0.020,0.950 ±0.098
probe_random_edits,none,0,20,0.916 ±0.071,0.650 ±0.214
probe_random_edits,none,1,20,0.966 ±0.035,0.750 ±0.195
probe_random_edits,none,2,20,0.941 ±0.036,0.600 ±0.220
probe_random_edits,none,3,20,0.921 ±0.047,0.400 ±0.220
probe_random_edits_noreserve,none,0,20,0.854 ±0.089,0.300 ±0.206
probe_random_edits_noreserve,none,1,20,0.897 ±0.030,0.050 ±0.098
probe_random_edits_noreserve,none,2,20,0.896 ±0.032,0.050 ±0.098
probe_random_edits_noreserve,none,3,20,0.868 ±0.052,0.050 ±0.098
probe_random_hyp,none,0,20,0.525 ±0.106,0.100 ±0.135
probe_random_hyp,none,1,20,0.292 ±0.097,0.000 ±0.000
probe_random_hyp,none,2,20,0.231 ±0.062,0.000 ±0.000
probe_random_hyp,none,3,20,0.145 ±0.036,0.000 ±0.000
probe_random_sel,gpt-4o-mini-2024-07-18,0,20,0.912 ±0.081,0.850 ±0.161
probe_random_sel,gpt-4o-mini-2024-07-18,1,20,0.928 ±0.061,0.750 ±0.195
probe_random_sel,gpt-4o-mini-2024-07-18,2,20,0.871 ±0.051,0.550 ±0.224
probe_random_sel,gpt-4o-mini-2024-07-18,3,20,0.903 ±0.041,0.350 ±0.214
probe_random_sel,qwen3-coder-30b-a3b-instruct,0,20,0.836 ±0.093,0.700 ±0.206
probe_random_sel,qwen3-coder-30b-a3b-instruct,1,20,0.925 ±0.063,0.900 ±0.135
probe_random_sel,qwen3-coder-30b-a3b-instruct,2,20,0.885 ±0.044,0.700 ±0.206
probe_random_sel,qwen3-coder-30b-a3b-instruct,3,20,0.898 ±0.040,0.350 ±0.214
probe_repair_only,gpt-4o-mini-2024-07-18,0,20,0.980 ±0.021,0.850 ±0.161
probe_repair_only,gpt-4o-mini-2024-07-18,1,20,0.966 ±0.035,0.750 ±0.195
probe_repair_only,gpt-4o-mini-2024-07-18,2,20,0.935 ±0.041,0.550 ±0.224
probe_repair_only,gpt-4o-mini-2024-07-18,3,20,0.932 ±0.034,0.350 ±0.214
probe_repair_only,qwen3-coder-30b-a3b-instruct,0,20,0.944 ±0.047,0.700 ±0.206
probe_repair_only,qwen3-coder-30b-a3b-instruct,1,20,0.991 ±0.012,0.900 ±0.135
probe_repair_only,qwen3-coder-30b-a3b-instruct,2,20,0.958 ±0.032,0.700 ±0.206
probe_repair_only,qwen3-coder-30b-a3b-instruct,3,20,0.937 ±0.031,0.350 ±0.214
probe_skel_only,none,0,20,0.780 ±0.112,0.350 ±0.214
probe_skel_only,none,1,20,0.964 ±0.030,0.700 ±0.206
probe_skel_only,none,2,20,0.947 ±0.032,0.550 ±0.224
probe_skel_only,none,3,20,0.913 ±0.054,0.350 ±0.214
